user_id,default_profile,default_profile_image,favourites_count,followers_count,friends_count,listed_count,statuses_count,geo_enabled,protected,verified,has_extended_profile,is_translator,user_lang,senti_polarity,senti_subjectivity,place_reference,possibly_sensitive,is_a_reply,is_quote_status,is_a_retweet,favorite_count,retweet_count,hash_tags_cnt,media_cnt,url_ref_cnt,symbols_cnt,user_ref_cnt,tweet_freq_hrs,bot_flg
333143589,0,0,461,1856,614,16,13533,1,0,0,1,0,en,0.058,0.157,0.058,0.0,0.058,0.079,0.503,0.08,637.548,0.505,0.186,0.265,0.0,0.744,7.36,0
393578483,0,0,13383,1298,830,0,11608,1,0,0,1,0,en,0.16,0.362,0.682,0.0,0.317,0.078,0.18,3.997,723.899,0.079,0.15,0.102,0.0,0.689,11.944,0
727448640,0,0,6480,852,657,2,9962,1,0,0,1,0,en,0.101,0.306,0.343,0.0,0.391,0.042,0.346,0.813,5338.77,0.064,0.084,0.081,0.0,0.92,15.369,0
209262106,0,0,364,292,328,1,16055,1,0,0,0,0,en,0.018,0.059,0.197,0.0,0.283,0.013,0.167,0.072,186.082,0.005,0.055,0.039,0.0,0.493,14.714,0
477989973,1,0,16,8,21,0,413,0,0,0,0,0,en,-0.029,0.239,0.0,0.0,0.027,0.0,0.32,0.022,896.536,0.6,0.779,0.68,0.0,0.935,84.132,0
3268602666,0,0,204,3,0,2,275,0,0,0,0,0,en,0.158,0.268,0.0,0.0,0.0,0.137,0.954,0.004,792.973,1.259,0.11,0.464,0.008,1.464,12.616,0
47241295,1,0,48,253,587,3,1940,1,0,0,0,0,en,0.192,0.339,0.251,0.0,0.002,0.001,0.015,0.061,95.718,1.358,0.01,0.927,0.0,0.064,42.85,0
15976691,0,0,0,3331,5000,45,23246,0,0,0,1,0,en,0.019,0.297,0.0,0.001,0.797,0.031,0.0,0.867,0.207,0.687,0.049,0.772,0.0,2.73,0.891,0
30451290,1,1,0,21,18,1,567,1,0,0,0,0,en,0.124,0.257,0.603,0.0,0.002,0.0,0.0,0.028,0.009,0.303,0.002,0.977,0.0,0.037,131.286,0
28747261,0,0,9885,51317,539,323,104289,1,0,1,0,0,en,0.052,0.132,0.0,0.0,0.554,0.158,0.09,21.104,854.14,0.055,0.124,0.322,0.0,0.733,2.507,0
108425531,0,0,4146,151,236,4,7471,1,0,0,1,0,en,0.069,0.352,0.001,0.0,0.152,0.04,0.2,0.738,2097.086,0.361,0.084,0.118,0.0,0.696,14.649,0
2998417670,1,0,13,100,123,0,668,0,0,0,0,0,en,0.036,0.183,0.0,0.0,0.039,0.0,0.041,0.109,24.268,0.016,0.132,0.073,0.0,0.141,17.795,0
2422320374,0,0,451,184,266,7,1060,1,0,0,0,0,en,0.092,0.176,0.026,0.0,0.025,0.008,0.181,0.494,60.171,0.223,0.069,0.967,0.0,0.377,34.56,0
1124003922,0,0,29318,771,413,1,17771,1,0,0,0,0,en,0.052,0.31,0.0,0.0,0.012,0.161,0.93,0.523,19634.498,0.026,0.216,0.197,0.0,0.921,7.622,0
791780606,0,0,6406,865,829,4,23750,0,0,0,1,0,en,0.035,0.303,0.0,0.0,0.327,0.056,0.318,0.192,8320.594,0.017,0.128,0.064,0.0,0.745,8.888,0
323288281,0,0,18,22,27,0,2990,0,0,0,1,0,en,0.058,0.281,0.0,0.0,0.008,0.0,0.004,0.005,13.369,0.014,0.001,0.975,0.0,0.015,14.705,0
2856107910,1,0,10178,751,421,1,5134,1,0,0,0,0,en,0.098,0.305,0.182,0.0,0.182,0.084,0.394,2.665,193.799,0.046,0.129,0.105,0.0,0.627,6.571,0
612999090,1,0,195,200,155,0,2640,0,0,0,0,0,en,0.099,0.309,0.0,0.0,0.142,0.011,0.48,0.216,976.402,0.553,0.197,0.065,0.0,0.784,21.724,0
2372338144,0,0,27124,8765,10115,14,29660,1,0,0,1,0,en,0.093,0.299,0.061,0.0,0.006,0.02,0.584,0.172,4138.519,0.118,0.294,0.296,0.0,0.718,9.227,0
3420905129,1,0,3049,1027,1857,129,39597,0,0,0,0,0,en,0.618,0.419,0.0,0.0,0.0,0.012,1.0,0.017,274.899,1.263,0.202,0.209,0.0,1.234,0.151,0
1233652698,0,0,8579,322,280,0,4276,1,0,0,1,0,en,0.116,0.338,0.0,0.0,0.148,0.078,0.357,0.333,8623.057,0.164,0.078,0.149,0.0,0.603,14.79,0
858038708,1,0,16,88,64,1,21883,0,0,0,0,0,en,-0.044,0.426,0.0,0.0,0.0,0.0,0.0,0.023,0.008,0.0,0.0,0.0,0.0,0.0,2.744,0
433617525,1,0,212,306,251,1,3168,0,0,0,1,0,en,0.225,0.426,0.0,0.0,0.119,0.001,0.239,0.093,265.299,0.079,0.047,0.516,0.0,0.595,17.801,0
57197093,0,0,6118,141,704,6,2448,0,0,0,0,0,en,0.046,0.148,0.0,0.0,0.003,0.005,0.794,0.073,1900.541,0.424,0.366,0.421,0.0,1.046,40.443,0
315476130,0,0,63231,463,2537,17,18690,1,0,0,1,0,en,0.075,0.242,0.0,0.0,0.0,0.01,0.999,0.0,6278.996,0.138,0.774,0.13,0.001,1.04,9.062,0
3324904868,0,0,6,57,83,0,960,0,0,0,1,0,en,0.096,0.262,0.0,0.0,0.681,0.003,0.008,0.159,12.985,0.026,0.044,0.193,0.0,0.924,29.564,0
35528306,0,0,4616,441,626,5,17048,1,0,0,1,0,en,0.094,0.288,0.187,0.0,0.097,0.066,0.342,0.512,2712.46,0.28,0.17,0.246,0.0,0.609,11.59,0
1252151778,0,0,25173,10274,7826,60,101463,1,0,0,1,0,en,0.12,0.339,0.468,0.0,0.126,0.113,0.336,0.44,7875.143,0.079,0.228,0.237,0.0,0.657,1.727,0
